longitude,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,price
-73.9553,3.0,11.0,1.0,1.0,295
-73.94048,2.0,2.0,1.0,0.0,70
-73.95947,2.0,0.0,2.0,0.0,58
-73.93118,3.0,87.0,1.0,267.0,75
-73.89564,5.0,13.0,1.0,0.0,38
-73.99283,30.0,3.0,31.0,270.0,100
-73.95639,7.0,1.0,1.0,43.0,260
-74.00476,1.0,42.0,1.0,4.0,147
-73.94803,1.0,0.0,1.0,0.0,34
-73.94366,1.0,0.0,1.0,0.0,65
-73.98098,30.0,6.0,9.0,150.0,125
-73.98573,30.0,0.0,65.0,338.0,310
-73.91968,1.0,0.0,5.0,329.0,50
-73.97882,1.0,4.0,1.0,0.0,79
-73.98983,30.0,1.0,2.0,63.0,329
-73.87496,1.0,0.0,2.0,170.0,115
-73.93034,3.0,3.0,1.0,0.0,140
-73.97009,3.0,95.0,2.0,112.0,225
-73.95295,1.0,0.0,5.0,281.0,149
-73.95702,2.0,7.0,1.0,124.0,50
-73.9581,30.0,0.0,7.0,364.0,88
-73.82875,2.0,1.0,1.0,0.0,200
-73.94297,14.0,4.0,1.0,0.0,160
-73.9358,2.0,51.0,1.0,89.0,125
-73.94522,4.0,14.0,3.0,0.0,75
-73.87739,2.0,5.0,1.0,57.0,80
-73.97225,2.0,1.0,1.0,0.0,140
-73.97381,2.0,15.0,1.0,41.0,134
-73.96005,10.0,1.0,1.0,0.0,65
-73.94141,30.0,7.0,52.0,327.0,159
-73.98758,2.0,16.0,1.0,52.0,300
-73.78263,1.0,0.0,1.0,180.0,95
-73.9755,15.0,0.0,1.0,0.0,70
-73.96161,2.0,58.0,6.0,199.0,248
-73.94179,1.0,1.0,5.0,364.0,750
-73.91993,2.0,3.0,1.0,0.0,90
-73.94462,30.0,5.0,8.0,161.0,80
-73.92855,7.0,0.0,1.0,67.0,85
-73.95703,3.0,3.0,1.0,0.0,50
-73.9554,2.0,4.0,1.0,0.0,295
-73.99084,14.0,0.0,1.0,0.0,80
-73.98401,3.0,0.0,1.0,0.0,109
-74.00604,3.0,16.0,1.0,0.0,100
-73.94875,2.0,27.0,1.0,339.0,45
-73.91265,3.0,38.0,1.0,243.0,135
-73.91519,4.0,9.0,3.0,124.0,115
-73.94803,5.0,7.0,1.0,341.0,185
-73.95873,3.0,3.0,1.0,42.0,150
-73.97884,30.0,0.0,232.0,312.0,290
-73.91729,1.0,5.0,2.0,0.0,80
-73.90639,1.0,26.0,3.0,0.0,65
-73.95627,31.0,3.0,2.0,242.0,45
-73.93335,1.0,127.0,1.0,7.0,80
-73.83192,1.0,5.0,3.0,365.0,75
-73.95436,7.0,15.0,1.0,213.0,69
-73.91633,4.0,28.0,1.0,0.0,65
-73.93249,4.0,0.0,1.0,0.0,60
-73.98337,3.0,3.0,1.0,0.0,195
-73.95134,15.0,19.0,3.0,106.0,69
-73.91248,5.0,2.0,1.0,0.0,160
-73.9559,3.0,12.0,1.0,0.0,150
-73.98916,1.0,0.0,2.0,0.0,250
-73.96245,3.0,0.0,1.0,0.0,90
-73.97067,2.0,4.0,1.0,129.0,235
-73.98191,1.0,0.0,7.0,230.0,100
-73.96688,1.0,0.0,1.0,15.0,239
-73.95347,1.0,0.0,1.0,32.0,65
-73.92037,3.0,19.0,1.0,228.0,115
-73.73399,1.0,30.0,1.0,282.0,60
-73.92849,7.0,1.0,1.0,173.0,60
-73.98006,14.0,0.0,1.0,0.0,45
-73.99028,1.0,2.0,1.0,0.0,300
-73.89723,5.0,9.0,2.0,0.0,35
-73.9068,4.0,5.0,4.0,98.0,69
-73.98893,30.0,5.0,1.0,301.0,198
-73.97952,5.0,3.0,1.0,0.0,100
-73.90933,2.0,47.0,4.0,249.0,60
-73.92491,1.0,0.0,1.0,179.0,225
-73.946,2.0,19.0,4.0,328.0,325
-73.97736,2.0,9.0,1.0,286.0,350
-73.94937,1.0,0.0,1.0,0.0,45
-73.97201,6.0,2.0,1.0,341.0,200
-73.96993,4.0,45.0,1.0,190.0,100
-73.9198,2.0,64.0,1.0,194.0,125
-73.88285,2.0,5.0,3.0,365.0,68
-73.93073,5.0,47.0,2.0,91.0,115
